"Mode : 1 - Takoyaki AM, 2 - Sheet pAM, 3 - 3D xAM",,,,,,,,,,
,,,,,,,,,,
Z axis,,,,X axis,,,,Y axis,,
FWHM (mm),Mode,Phantom,,FWHM,Mode,Phantom,,FWHM,Mode,Phantom
0.064240056,1,1,,0.283230108,1,1,,0.442109436,1,1
0.100582845,1,1,,0.717002472,1,1,,0.427917178,1,1
0.195775003,1,1,,0.316638925,1,1,,0.393132313,1,1
0.071669422,1,1,,0.197534876,1,1,,0.223558678,1,1
0.066511466,1,1,,0.287061667,1,1,,0.553982946,1,1
0.054771048,1,1,,0.264351986,1,1,,0.318892081,1,1
0.184162715,1,1,,0.399371132,1,1,,0.43934565,1,1
0.11749694,1,1,,0.313459576,1,1,,0.381633959,1,1
0.065361459,1,1,,0.302356184,1,1,,0.17270355,1,1
0.069961334,1,1,,0.317359918,1,1,,0.598108391,1,1
0.084548847,1,1,,0.291821812,1,1,,0.419260825,1,1
0.126013013,1,1,,0.295170995,1,1,,0.47092725,1,1
0.05672214,1,1,,0.400848695,1,1,,0.376377456,1,1
0.065341662,1,1,,0.302281092,1,1,,0.304181843,1,1
0.088192418,1,1,,0.325581464,1,1,,0.299103778,1,1
0.073199725,1,1,,0.265410458,1,1,,0.423516369,1,1
0.064525237,1,1,,0.280987424,1,1,,0.270675598,1,1
0.081183669,1,1,,0.354085082,1,1,,0.399139956,1,1
0.092762987,1,1,,0.514930888,1,1,,0.59630508,1,1
0.149318667,1,1,,0.647132069,1,1,,0.136936025,1,1
0.120324873,1,1,,0.34504248,1,1,,0.563544747,1,1
0.098264325,1,1,,0.25529882,1,1,,0.404528541,1,1
0.1121926,1,1,,0.259397995,1,1,,0.423004373,1,1
0.068033438,1,1,,0.339949315,1,1,,0.541038938,1,1
0.089208938,1,1,,0.289971417,1,1,,0.464389794,1,1
0.07501552,1,1,,0.514510513,1,1,,0.22821064,1,1
0.101420522,1,1,,0.236010871,1,1,,0.305643176,1,1
0.087644088,1,1,,0.280179379,1,1,,0.285919686,1,1
0.097923712,1,1,,0.344075944,1,1,,0.204653291,1,1
0.078160512,1,1,,0.279329764,1,1,,0.376233234,1,1
0.082802608,1,1,,0.293757484,1,1,,0.325389761,1,1
0.198391157,1,1,,0.26499006,1,1,,0.219856981,1,1
0.096600918,1,1,,0.327325229,1,1,,0.335014369,1,1
0.105358727,1,1,,0.448765362,1,1,,0.636064044,1,1
0.104012271,1,1,,0.541456357,1,1,,0.371187076,1,1
0.115799396,1,1,,0.464413371,1,1,,0.346224184,1,1
0.096239788,1,1,,0.404243896,1,1,,0.438962243,1,1
0.093855128,1,1,,0.27911213,1,1,,0.250646539,1,1
0.075975477,1,1,,0.327668364,1,1,,0.361981023,1,1
0.081557125,1,1,,0.284246551,1,1,,0.33766072,1,1
0.191883517,1,1,,0.460921227,1,1,,0.35672633,1,1
0.100065723,1,1,,0.231617109,1,1,,0.172068752,1,1
0.083474756,1,1,,0.27533098,1,1,,0.368135902,1,1
0.094943627,1,1,,0.417816935,1,1,,0.425213494,2,1
0.102105317,1,1,,0.528305426,1,1,,0.847219457,2,1
0.158091915,1,1,,0.252260955,1,1,,0.378551989,2,1
0.117332002,1,1,,0.41543948,2,1,,0.429736866,2,1
0.081174565,1,1,,0.703878107,2,1,,0.273755846,2,1
0.086478163,1,1,,0.471694968,2,1,,0.46518591,2,1
0.154355317,1,1,,0.558882805,2,1,,0.37763835,2,1
0.09435774,1,1,,0.33981255,2,1,,0.195017233,2,1
0.087812727,1,1,,0.372586776,2,1,,0.487386549,2,1
0.080281584,1,1,,0.469704145,2,1,,0.337397753,2,1
0.065001861,1,1,,0.528905088,2,1,,0.339105424,2,1
0.078322898,1,1,,0.636245978,2,1,,0.332400144,2,1
0.086705233,1,1,,0.467793157,2,1,,0.498888371,2,1
0.126551874,1,1,,0.537562399,2,1,,0.339825451,2,1
0.08108427,1,1,,0.314877992,2,1,,0.538686653,2,1
0.090020046,1,1,,0.537657095,2,1,,0.276161574,2,1
0.102586558,1,1,,0.501402327,2,1,,0.207200912,2,1
0.101203188,1,1,,0.359355184,2,1,,0.329932199,2,1
0.075734416,1,1,,0.467813285,2,1,,0.259064806,2,1
0.090769367,1,1,,0.441385407,2,1,,0.528779329,2,1
0.079726803,1,1,,0.579171346,2,1,,0.682355996,2,1
0.075313019,1,1,,0.56955717,2,1,,0.28047427,2,1
0.142191513,1,1,,0.631236424,2,1,,0.306327892,2,1
0.129340596,1,1,,0.734139832,2,1,,0.550227797,2,1
0.097772394,1,1,,0.30376951,2,1,,0.540864201,2,1
0.107415691,1,1,,0.447743186,2,1,,0.262131473,2,1
0.079892798,1,1,,0.473095942,2,1,,0.331698302,2,1
0.102576873,1,1,,0.589668505,2,1,,0.411581075,2,1
0.100936841,1,1,,0.567695666,2,1,,0.325902597,2,1
0.087858221,1,1,,0.491837496,2,1,,0.23990425,2,1
0.118601722,1,1,,0.502467232,2,1,,0.596302778,2,1
0.17197472,1,1,,0.397471341,2,1,,0.309921597,2,1
0.121641952,1,1,,0.292389671,2,1,,0.306759581,2,1
0.072858149,1,1,,0.404777875,2,1,,0.492254214,2,1
0.172379295,1,1,,0.434111918,2,1,,0.268664642,2,1
0.176310592,1,1,,0.459861488,2,1,,0.34422688,2,1
0.069704628,1,1,,0.38547652,2,1,,0.304970007,2,1
0.092216109,1,1,,0.468545322,2,1,,0.22559699,2,1
0.187157037,1,1,,0.214600296,2,1,,0.396083475,2,1
0.096957037,1,1,,0.80949134,2,1,,0.352582113,2,1
0.114784011,1,1,,0.516124433,2,1,,0.330722638,2,1
0.109274896,1,1,,0.409156238,2,1,,0.272638706,2,1
0.07542228,1,1,,0.462798353,2,1,,0.272969696,2,1
0.114186655,1,1,,0.362783337,2,1,,0.449026735,2,1
0.098076376,1,1,,0.534186944,2,1,,0.300811536,2,1
